Nº de Títulos;Valor Total;Nº Baixados;Valor Total;Nº Confirmados;
4860;R$ 4.186.933,60;0;R$ 0,00;0;
Erro nº;Mensagem de erro;MSG_TECNICA;
103;Título está baixado. Matrícula [201404429] Número [148946            ] * Linha: 3400; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075859] Linha: 3400;
104;Título está baixado. Matrícula [201517750] Número [146472            ] * Linha: 3401; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075866] Linha: 3401;
105;Título está baixado. Matrícula [201518414] Número [149933            ] * Linha: 3402; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075870] Linha: 3402;
106;Título está baixado. Matrícula [201500332] Número [150289            ] * Linha: 3403; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075874] Linha: 3403;
107;Título está baixado. Matrícula [201503238] Número [150730            ] * Linha: 3404; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076262] Linha: 3404;
108;Título está baixado. Matrícula [201412655] Número [156288            ] * Linha: 3405; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076277] Linha: 3405;
109;Título está baixado. Matrícula [201500623] Número [146171            ] * Linha: 3406; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075876] Linha: 3406;
110;Título está baixado. Matrícula [201500381] Número [143693            ] * Linha: 3407; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075923] Linha: 3407;
111;Título está baixado. Matrícula [201501004] Número [148494            ] * Linha: 3408; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075925] Linha: 3408;
112;Título está baixado. Matrícula [201500399] Número [150159            ] * Linha: 3409; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075927] Linha: 3409;
113;Título está baixado. Matrícula [201416801] Número [144719            ] * Linha: 3410; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075936] Linha: 3410;
114;Título está baixado. Matrícula [201416805] Número [151485            ] * Linha: 3411; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075938] Linha: 3411;
115;Título está baixado. Matrícula [201502793] Número [147197            ] * Linha: 3412; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075940] Linha: 3412;
116;Título está baixado. Matrícula [201501358] Número [153615            ] * Linha: 3413; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075946] Linha: 3413;
117;Título está baixado. Matrícula [201416824] Número [153786            ] * Linha: 3414; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075970] Linha: 3414;
118;Título está baixado. Matrícula [201417486] Número [155594            ] * Linha: 3415; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075983] Linha: 3415;
119;Título está baixado. Matrícula [201500028] Número [150120            ] * Linha: 3416; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076012] Linha: 3416;
120;Título está baixado. Matrícula [201500030] Número [149142            ] * Linha: 3417; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076014] Linha: 3417;
121;Título está baixado. Matrícula [201417041] Número [152696            ] * Linha: 3418; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076052] Linha: 3418;
122;Título está baixado. Matrícula [201502582] Número [152544            ] * Linha: 3419; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076059] Linha: 3419;
123;Título está baixado. Matrícula [201503642] Número [152212            ] * Linha: 3420; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076061] Linha: 3420;
124;Título está baixado. Matrícula [201502878] Número [149609            ] * Linha: 3983; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061711] Linha: 3983;
125;Título está baixado. Matrícula [201501427] Número [143098            ] * Linha: 3984; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061715] Linha: 3984;
126;Título está baixado. Matrícula [201501996] Número [141619            ] * Linha: 3985; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061720] Linha: 3985;
127;Título está baixado. Matrícula [201517809] Número [155262            ] * Linha: 3986; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061722] Linha: 3986;
128;Título está baixado. Matrícula [201517377] Número [141040            ] * Linha: 3987; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061736] Linha: 3987;
129;Título está baixado. Matrícula [201517716] Número [156167            ] * Linha: 3988; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061738] Linha: 3988;
130;Título está baixado. Matrícula [201501438] Número [146485            ] * Linha: 3989; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061751] Linha: 3989;
131;Título está baixado. Matrícula [201516845] Número [153419            ] * Linha: 3990; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061757] Linha: 3990;
132;Título está baixado. Matrícula [201517497] Número [155365            ] * Linha: 3991; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061764] Linha: 3991;
133;Título está baixado. Matrícula [201514916] Número [143240            ] * Linha: 3992; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061772] Linha: 3992;
134;Título está baixado. Matrícula [201514920] Número [143275            ] * Linha: 3993; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061774] Linha: 3993;
135;Título está baixado. Matrícula [201516869] Número [147801            ] * Linha: 3994; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061806] Linha: 3994;
136;Título está baixado. Matrícula [201517202] Número [148233            ] * Linha: 3995; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061808] Linha: 3995;
137;Título está baixado. Matrícula [201511191] Número [149920            ] * Linha: 3996; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061814] Linha: 3996;
138;Título está baixado. Matrícula [201513877] Número [142310            ] * Linha: 3997; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061825] Linha: 3997;
139;Título está baixado. Matrícula [201517536] Número [150651            ] * Linha: 3998; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061836] Linha: 3998;
140;Título está baixado. Matrícula [201518219] Número [157008            ] * Linha: 3999; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061838] Linha: 3999;
141;Título está baixado. Matrícula [201522545] Número [146765            ] * Linha: 4000; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061840] Linha: 4000;
142;Título está baixado. Matrícula [201502972] Número [156119            ] * Linha: 4001; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061869] Linha: 4001;
143;Título está baixado. Matrícula [201502976] Número [149006            ] * Linha: 4002; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061871] Linha: 4002;
144;Título está baixado. Matrícula [201501791] Número [147959            ] * Linha: 4003; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061875] Linha: 4003;
145;Título está baixado. Matrícula [201501523] Número [151591            ] * Linha: 4004; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061903] Linha: 4004;
146;Título está baixado. Matrícula [201502700] Número [153051            ] * Linha: 4005; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061931] Linha: 4005;
147;Título está baixado. Matrícula [201502712] Número [148177            ] * Linha: 4006; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061950] Linha: 4006;
148;Título está baixado. Matrícula [201570030] Número [152394            ] * Linha: 4007; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061952] Linha: 4007;
149;Título está baixado. Matrícula [201503029] Número [154196            ] * Linha: 4008; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061972] Linha: 4008;
150;Título está baixado. Matrícula [201518272] Número [156506            ] * Linha: 4009; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22061991] Linha: 4009;
151;Título está baixado. Matrícula [201516746] Número [156397            ] * Linha: 4010; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062020] Linha: 4010;
152;Título está baixado. Matrícula [201501603] Número [150028            ] * Linha: 4011; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062059] Linha: 4011;
153;Título está baixado. Matrícula [201502195] Número [156266            ] * Linha: 4012; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062065] Linha: 4012;
154;Título está baixado. Matrícula [201502478] Número [156400            ] * Linha: 4013; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062069] Linha: 4013;
155;Título está baixado. Matrícula [201503577] Número [149642            ] * Linha: 4014; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062099] Linha: 4014;
156;Título está baixado. Matrícula [201518430] Número [157247            ] * Linha: 4015; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062113] Linha: 4015;
157;Título está baixado. Matrícula [201501924] Número [144079            ] * Linha: 4016; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062121] Linha: 4016;
158;Título está baixado. Matrícula [201501935] Número [149823            ] * Linha: 4017; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062123] Linha: 4017;
159;Título está baixado. Matrícula [201313048] Número [156866            ] * Linha: 4018; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062818] Linha: 4018;
160;Título está baixado. Matrícula [201313057] Número [141375            ] * Linha: 4019; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062820] Linha: 4019;
161;Título está baixado. Matrícula [201318129] Número [153291            ] * Linha: 4020; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062851] Linha: 4020;
162;Título está baixado. Matrícula [201302221] Número [151339            ] * Linha: 4021; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062865] Linha: 4021;
163;Título está baixado. Matrícula [201301301] Número [147999            ] * Linha: 4022; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062883] Linha: 4022;
164;Título está baixado. Matrícula [201512094] Número [158020            ] * Linha: 4023; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053035] Linha: 4023;
165;Título está baixado. Matrícula [201509186] Número [156265            ] * Linha: 4585; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054099] Linha: 4585;
166;Título está baixado. Matrícula [201503976] Número [156728            ] * Linha: 4586; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054101] Linha: 4586;
167;Título está baixado. Matrícula [201513156] Número [156718            ] * Linha: 4587; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054124] Linha: 4587;
168;Título está baixado. Matrícula [201516249] Número [141851            ] * Linha: 4588; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054130] Linha: 4588;
169;Título está baixado. Matrícula [200803965] Número [146186            ] * Linha: 4589; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054162] Linha: 4589;
170;Título está baixado. Matrícula [200801950] Número [155824            ] * Linha: 4590; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054177] Linha: 4590;
171;Título está baixado. Matrícula [200901268] Número [156513            ] * Linha: 4591; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054190] Linha: 4591;
172;Título está baixado. Matrícula [201318354] Número [153440            ] * Linha: 4592; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054205] Linha: 4592;
173;Título está baixado. Matrícula [201402085] Número [147340            ] * Linha: 4593; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054214] Linha: 4593;
174;Título está baixado. Matrícula [201301235] Número [147422            ] * Linha: 4594; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054265] Linha: 4594;
175;Título está baixado. Matrícula [201301708] Número [151921            ] * Linha: 4595; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054275] Linha: 4595;
